Task ID,Task Name (EN),Task Name (AR),Description (EN),Description (AR),Phase,Est. Time (min),Priority,Status
T082,Register Admin Plan Management Routes,تسجيل مسارات إدارة الباقات,"POST toggle, PUT sort, POST prices. API equivalents: /api/admin/subscription-plans/{id}/toggle, etc.","تسجيل مسارات API لإدارة الباقات.",Phase 13 - Plan API,30,High,To Do
T083,Create SendSubscriptionExpiryNotifications Command,إنشاء أمر إشعارات انتهاء الاشتراك,"Command: subscriptions:send-expiry-notifications. For 7d, 3d, 1d thresholds: send push (FCM) + email. Set notified_X_days flags. Skip lifetime. Arabic titles.","إنشاء أمر لإرسال إشعارات انتهاء الاشتراك (دفع + بريد).",Phase 14 - Expiry,90,High,To Do
T084,Create Expiry Notification Email Templates,إنشاء قوالب بريد انتهاء الاشتراك,"Blade templates: subscription-expiry-7days, 3days, 24hours. Include user name, plan name, expiry date, renewal link.","إنشاء قوالب البريد الإلكتروني للإشعارات الثلاثة.",Phase 14 - Expiry,60,High,To Do
T085,Create Laravel Mailable Classes,إنشاء فئات Mailable للإشعارات,"SubscriptionExpiry7Days, SubscriptionExpiry3Days, SubscriptionExpiry24Hours. Accept User + Subscription.","إنشاء فئات Mailable لرسائل انتهاء الاشتراك.",Phase 14 - Expiry,60,High,To Do
T086,Create HandleExpiredSubscriptions Command,إنشاء أمر معالجة الاشتراكات المنتهية,"Command: subscriptions:handle-expired. Find expired subscriptions. If auto_renew: attempt renewal (wallet then Kashier). Else set status=expired.","إنشاء أمر لتجديد أو إنهاء الاشتراكات المنتهية.",Phase 15 - Auto-Renewal,90,High,To Do
T087,Install QR Code Package,تثبيت حزمة QR Code,"composer require simplesoftwareio/simple-qrcode.","تثبيت حزمة إنشاء رمز QR.",Phase 16 - Certificate,15,Medium,To Do
T088,Modify CertificateService for 100% Gate and QR,تعديل خدمة الشهادة لشرط 100% و QR,"Check VideoProgressService::getCourseProgress === 100 before generating. Add QR with URL certificate/verify/{number}. Embed in PDF.","إضافة شرط إكمال 100% ورمز QR للشهادة.",Phase 16 - Certificate,90,Medium,To Do
T089,Create Certificate Verification Endpoint,إنشاء نقطة التحقق من الشهادة,"Route GET /certificate/verify/{number} (public). Return page with course name, student name, completion date.","إنشاء صفحة التحقق من صحة الشهادة عبر QR.",Phase 16 - Certificate,60,Medium,To Do
T090,Register Commands in Scheduler,تسجيل الأوامر في المجدول,"Schedule: subscriptions:send-expiry-notifications, subscriptions:handle-expired, affiliate:release-commissions. All daily.","تسجيل أوامر الاشتراك والعمولات في المجدول اليومي.",Phase 17 - Polish,30,High,To Do
T091,Add referred_by Field to Users Table,إضافة حقل المُحيل لجدول المستخدمين,"Migration: add referred_by (foreignId nullable to users). Update User model: fillable, referrer() relation.","إضافة عمود المُحيل لربط المستخدم بالمسوق بالعمولة.",Phase 17 - Polish,30,High,To Do
T092,Add User Registration Hook for Affiliate Tracking,إضافة ربط التسجيل بالتسويق بالعمولة,"In registration: if referral cookie/session exists, save referred_by on new user.","حفظ المُحيل عند تسجيل مستخدم جديد برابط العمولة.",Phase 17 - Polish,60,High,To Do
T093,Backfill Existing Ratings and Comments with Approved,تحديث التقييمات والمناقشات القديمة بالموافقة,"UPDATE ratings SET status='approved' WHERE status IS NULL. Same for course_discussions.","تعيين الموافقة للتقييمات والتعليقات الموجودة مسبقاً.",Phase 17 - Polish,30,High,To Do
T094,Add commission_rate to Subscription Plan Admin Forms,إضافة نسبة العمولة لنماذج الباقات,"Add Commission Rate (%) input to create.blade.php and edit.blade.php. Save in SubscriptionPlanController.","إضافة حقل نسبة العمولة في نماذج إنشاء وتعديل الباقة.",Phase 17 - Polish,45,High,To Do
T095,Wallet Top-up via Kashier,شحن المحفظة عبر Kashier,"POST /api/wallet/top-up. Create Kashier checkout for deposit. On webhook: credit wallet via WalletService.","إضافة إمكانية شحن المحفظة عبر Kashier.",Phase 17 - Polish,120,High,To Do
T096,Admin Currencies Management UI,واجهة إدارة العملات للأدمن,"Create admin/currencies/index.blade.php. List currencies, update exchange rates, add/remove. CurrencyController. Sidebar link.","إنشاء صفحة إدارة العملات المدعومة في لوحة التحكم.",Phase 17 - Polish,120,Medium,To Do
T097,Add Marketing Pixels Sidebar Link,إضافة رابط البكسل في القائمة الجانبية,"Add link under Settings. Permission: manage_settings.","إضافة رابط إدارة البكسل في القائمة الجانبية.",Phase 17 - Polish,15,Medium,To Do
T098,Final Integration Verification,التحقق النهائي من التكامل,"Verify: feature flags, subscription→commission→withdrawal, pricing→Kashier→activation, 85% progress→certificate, notification commands.","التحقق الشامل من تكامل جميع الميزات.",Phase 17 - Polish,120,High,To Do
T008,Create Subscription Plans Index View,إنشاء صفحة قائمة الباقات,"Create index.blade.php: inline create form (name, cycle, custom days, price, commission, features). Table: plans with toggle, actions. AJAX create/edit/delete.","إنشاء صفحة قائمة الباقات مع نموذج إنشاء وجدول بيانات.",Phase 1 - Plans,120,High,To Do
T009,Create Plan Edit Modal/Form,إنشاء نموذج تعديل الباقة,"Create edit.blade.php. Pre-filled form, dynamic features list, show/hide custom days by billing_cycle.","إنشاء نموذج تعديل الباقة مع قائمة الميزات الديناميكية.",Phase 1 - Plans,90,High,To Do
T010,Create Plan Show/Details View,إنشاء صفحة تفاصيل الباقة,"Create show.blade.php. Plan card, stats (subscribers, revenue), subscribers table with pagination.","إنشاء صفحة تفاصيل الباقة مع إحصائيات والمشتركين.",Phase 1 - Plans,90,High,To Do
T011,Add Subscriptions Section to Sidebar,إضافة قسم الاشتراكات للقائمة الجانبية,"New header 'الاشتراكات'. Menu item 'باقات الاشتراك' → subscription-plans.index. Icon fas fa-gem. @can('subscription-plans-list').","إضافة قسم الاشتراكات ورابط الباقات في القائمة الجانبية.",Phase 1 - Plans,30,High,To Do
T012,Create SubscriptionPlanSeeder,إنشاء بذار الباقات الافتراضية,"5 plans: Monthly (100 EGP, 10%), Quarterly (270, 12%), Semi-Annual (500, 15%), Yearly (900, 20%), Lifetime (2500, 25%). Features JSON.","إنشاء بذار لخمس باقات افتراضية بالعربية.",Phase 1 - Plans,60,High,To Do
T013,Run SubscriptionPlanSeeder,تشغيل بذار الباقات,"Execute php artisan db:seed --class=SubscriptionPlanSeeder.","تشغيل بذار الباقات الافتراضية.",Phase 1 - Plans,15,High,To Do
T014,Add Renew Method to SubscriptionApiController,إضافة طريقة التجديد لـ API الاشتراك,"Add renew() method. Register POST /api/subscription/renew. Validate and process renewal.","إضافة نقطة نهاية تجديد الاشتراك في API.",Phase 1 - Plans,60,High,To Do
